ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
01EC7F635080031497B19A4DE8DED5A4DFE9FFF6_133;42077;46423;1;26205;26505;27650;[(42077, 46423, 2793163)]
01ECF63D4FBD1C8D28FC1D2A90AF21A18352EC36_134;41370;43510;1;27590;27890;28552;[(41370, 43510, 2791930)]
01ED9277076EC7358EC022EBE814C8564345C89E_135;41345;41328;1;49999;50299;51112;[(41345, 41328, 2791263)]
01EE58088655859B573B6218A192FDB27FEBD5DA_136;44903;41481;1;76520;76820;78156;[(44903, 41481, 2792221)]
01F4563BBC8A4C8FE9ABD7AC2BA6B8245D029495_137;41958;41386;1;26691;26991;29190;[(41958, 41386, 2790693)]
01F738E33E98000F4C6656A6885B45B0262F0315_138;42957;43104;1;23355;23655;24436;[(42957, 43104, 2794672)]
01FCB986FDCB4947CBB318BBF67CB1081FF8A1BB_139;44903;46292;1;76518;76818;79276;[(44903, 46292, 2792221)]
02076A6084B3E48FA06527CB1C258A68483B2307_140;46018;42516;1;45758;46058;47077;[(46018, 42516, 2792300)]
02090C43F909E88D3728D830156A2D663AB04207_141;41842;41798;1;79791;80091;80806;[(41842, 41798, 2793744)]
020B5FD4CF18827D00237EF054E47ACBA3E741C4_142;46167;46182;1;28203;28503;29666;[(46167, 46182, 2791759)]
020B5FD4CF18827D00237EF054E47ACBA3E741C4_143;46190;46204;1;61407;61707;62798;[(46190, 46204, 2793426)]
02140CDD0FC6D1D330FDAA9A7FAC652D9647BAFD_144;43148;42140;1;61877;62177;65198;[(43148, 42140, 2790606)]
02149756E35C2594EC1E01B6CF2D1C36C51E3B3D_145;41494;43507;1;58287;58587;61014;[(41494, 41937, 2793947), (41937, 43507, 2793878)]
0215909764B7BEF7B5EE72AEB9B4699913EFE2FA_146;41937;43507;1;72056;72356;73138;[(41937, 43507, 2793694)]
0215909764B7BEF7B5EE72AEB9B4699913EFE2FA_147;48039;42968;1;80645;80945;85602;[(48039, 41848, 2793883), (41848, 42968, 2794336)]
021803F7CF6B8587C2F98BC20B4A6A93D86D612C_148;41842;41876;1;62032;62332;68392;[(41842, 41804, 2794330), (41806, 41876, 2794478)]
02198BE333096DB4AFF74ACD0994FF524EC768DB_149;41613;46304;1;25824;26124;28358;[(41613, 46304, 2794565)]
02198BE333096DB4AFF74ACD0994FF524EC768DB_150;43249;42873;1;37466;37766;39266;[(43249, 42873, 2790185)]
02198BE333096DB4AFF74ACD0994FF524EC768DB_151;42873;41612;1;56383;56683;57656;[(42873, 41612, 2790065)]
0222E4DC4D6CBBEE4D049BE76233BB46190AEE7A_152;41455;41415;1;86356;86656;88032;[(41455, 41415, 2794064)]
022464E881AF3A5098B1869E1932C2FA293000AE_153;43510;46205;1;64693;64993;67212;[(43510, 46205, 2791098)]
02258809787967875BD7E8CB3B97683171921788_154;42570;47131;1;47057;47357;50313;[(42570, 47131, 2793358)]
0227EFDF41EC31A9344A10E3E965984C6EE8455F_155;41395;41327;1;65198;65498;66306;[(41395, 41327, 2791374)]
022E9A91CD7B6947CB704C4D7D31996131B0E2FD_156;43249;42854;1;26757;27057;28204;[(43249, 42854, 2790310)]
022E9A91CD7B6947CB704C4D7D31996131B0E2FD_157;42855;46304;1;58526;58826;59974;[(42855, 46304, 2790605)]
0232ED2EBBC8528C82AD370C74CF8717863AD42B_158;42004;41322;1;47281;47581;50140;[(42004, 41322, 2791060)]
0233773B76B95CC5F74E1D6D81196B7736483D39_159;41796;41800;1;77348;77648;78316;[(41796, 41800, 2794289)]
023798BD13F6EA46304AD22A94B2BC6A6C16ED2F_160;41417;41876;1;36815;37115;40026;[(41417, 41876, 2791789)]
023798BD13F6EA46304AD22A94B2BC6A6C16ED2F_161;41865;43510;1;46288;46588;48696;[(41865, 41800, 2794598), (41340, 43510, 2792737)]
023E7B5D9B71C12A6B039B33B42E5D1F106F7825_162;42870;48150;1;67865;68165;69698;[(42870, 48150, 2794172)]
023ECD2AF02398EB8600BEC20B5977BF663E3186_163;42175;46528;1;27058;27358;28978;[(42175, 46528, 2794595)]
023ECD2AF02398EB8600BEC20B5977BF663E3186_164;46529;42411;1;57417;57717;59252;[(46529, 42411, 2792459)]
023FD1D871456D4A19089B9C75C17D3D826B01DE_165;42430;43928;1;28839;29139;30578;[(42430, 43928, 2789968)]
